Ward,TOTAL,MALES_OVER_21,MALES_UNDER_21,FEMALES_OVER_21,FEMALE_UNDER_21,IRELAND,GERMANY,OTHER,FOREIGNER_UNDER_21,COLORED,UNDER_5,5_TO_15_NATIVES,5_TO_15_FOREIGN,VOTERS_NATIVE,VOTERS_FOREIGN
1,3058,776,662,933,687,996,33,220,579,20,448,322,241,303,
2,9167,3153,1873,2255,1886,5333,157,1058,2900,130,1198,285,1303,364,109
3,10972,3401,2109,3195,2267,4769,85,532,2346,28,1294,732,954,1102,100
4,15222,4166,2219,4406,3431,5056,206,218,2455,115,1404,1564,796,2474,267
5,,,,,,,,,,,,,,,
6,8967,2137,1652,3291,1887,1457,74,400,703,1187,948,1273,247,1223,28
7,5002,1979,821,2305,899,1313,136,273,518,26,344,491,185,1189,32
8,10166,2773,2367,2374,2352,7964,36,597,4117,2,1629,208,1805,288,145
9,10506,2746,1978,3621,2161,4792,131,581,2641,21,1185,678,1049,1237,145
10,14825,3795,3032,4740,3259,5922,472,693,3407,30,1892,1147,1476,1786,101
11,19370,4592,4205,5813,4760,5021,1018,1473,3779,141,2789,2299,1654,2665,277
12,13309,3412,3272,3501,3124,5606,161,1042,3155,40,1889,1280,1392,1238,244